row_number,search_record,match_number,audit_status,match_level,match_code,match_key,match_score,name_score,entity_id,entity_name,data_sources,matched_values
4,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1004', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'B', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '11/12/1979', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': 'HOME', 'ADDR_FULL': '', 'ADDR_LINE1': '1515 Adela Ln', 'ADDR_CITY': 'Las Vegas', 'ADDR_STATE': 'NV', 'ADDR_POSTAL_CODE': '89132', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': 'bsmith@work.com', 'DATE': '1/5/15', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '400', 'ROW_ID': 4}",1,n/a,1,RESOLVED,PNAME+DOB+ADDRESS+EMAIL,400.0,85,1,Robert Smith,CUSTOMERS: (4),NAME(B Smith | Bob J Smith | GNR_FN=85 | GNR_SN=100 | GNR_GN=79) | DOB(11/12/1979 | 11/12/1979 | FULL_SCORE=100) | ADDRESS(1515 Adela Ln Las Vegas NV 89132 | 1515 Adela Ln Las Vegas NV 89132 | FULL_SCORE=100) | EMAIL(bsmith@work.com | bsmith@work.com | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
4,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1004', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'B', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '11/12/1979', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': 'HOME', 'ADDR_FULL': '', 'ADDR_LINE1': '1515 Adela Ln', 'ADDR_CITY': 'Las Vegas', 'ADDR_STATE': 'NV', 'ADDR_POSTAL_CODE': '89132', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': 'bsmith@work.com', 'DATE': '1/5/15', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '400', 'ROW_ID': 4}",2,n/a,3,POSSIBLY_RELATED,SURNAME+ADDRESS,200.0,49,100002,Patricia Smith,WATCHLIST: 1007,"NAME(B Smith | Patricia Smith | GNR_FN=49 | GNR_SN=100 | GNR_GN=0) | ADDRESS(1515 Adela Ln Las Vegas NV 89132 | 1515 Adela Ln, LV, NV 89132 | FULL_SCORE=100) | EMAIL(bsmith@work.com | psmith@email.com | FULL_SCORE=0) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)"
12,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1018', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Kusha', 'PRIMARY_NAME_FIRST': 'Marie', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '10/28/76', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': 'HOME', 'PHONE_NUMBER': '512-353-8633', 'EMAIL_ADDRESS': '', 'DATE': '1/13/18', 'STATUS': 'Active', 'CATEGORY': '', 'AMOUNT': '300', 'ROW_ID': 12}",1,n/a,1,RESOLVED,NAME+DOB+PHONE,300.0,100,9,Marie Kusha,CUSTOMERS: (4),NAME(Marie Kusha | Marie Kusha | GNR_FN=100 | GNR_SN=100 | GNR_GN=100) | DOB(10/28/76 | 10/28/76 | FULL_SCORE=100) | PHONE(512-353-8633 | 512-353-8633 | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
11,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1017', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Kusha', 'PRIMARY_NAME_FIRST': 'Mary ', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '293-90-9090', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': '', 'DATE': '1/12/18', 'STATUS': 'Active', 'CATEGORY': '', 'AMOUNT': '200', 'ROW_ID': 11}",1,n/a,1,RESOLVED,NAME+SSN,200.0,100,9,Marie Kusha,CUSTOMERS: (4),NAME(Mary Kusha | Mary Kusha | GNR_FN=100 | GNR_SN=100 | GNR_GN=100) | SSN(293-90-9090 | 293-90-9090 | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
18,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1026', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Anderson', 'PRIMARY_NAME_FIRST': 'Darlene', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '1/7/80', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': '', 'DATE': '1/19/18', 'STATUS': 'Active', 'CATEGORY': '', 'AMOUNT': '900', 'ROW_ID': 18}",1,n/a,2,POSSIBLY_SAME,NAME+DOB,200.0,92,17,Darla Anderson,CUSTOMERS: 1025,NAME(Darlene Anderson | Darla Anderson | GNR_FN=92 | GNR_SN=100 | GNR_GN=83) | DOB(1/7/80 | 1/7/80 | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
18,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1026', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Anderson', 'PRIMARY_NAME_FIRST': 'Darlene', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '1/7/80', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': '', 'DATE': '1/19/18', 'STATUS': 'Active', 'CATEGORY': '', 'AMOUNT': '900', 'ROW_ID': 18}",2,n/a,1,RESOLVED,NAME+DOB,200.0,100,18,Darlene Anderson,CUSTOMERS: 1026,NAME(Darlene Anderson | Darlene Anderson | GNR_FN=100 | GNR_SN=100 | GNR_GN=100) | DOB(1/7/80 | 1/7/80 | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
2,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1002', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'Bob', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '11/12/1978', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': 'HOME', 'ADDR_FULL': '', 'ADDR_LINE1': '1515 Adela Lane', 'ADDR_CITY': 'Las Vegas', 'ADDR_STATE': 'NV', 'ADDR_POSTAL_CODE': '89111', 'ADDR_COUNTRY': '', 'PHONE_TYPE': 'MOBILE', 'PHONE_NUMBER': '702-919-1300', 'EMAIL_ADDRESS': '', 'DATE': '3/10/17', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '200', 'ROW_ID': 2}",1,n/a,1,RESOLVED,NAME+DOB+ADDRESS+PHONE,400.0,97,1,Robert Smith,CUSTOMERS: (4),NAME(Bob Smith | Robert Smith | GNR_FN=97 | GNR_SN=100 | GNR_GN=95) | DOB(11/12/1978 | 11/12/1978 | FULL_SCORE=100) | ADDRESS(1515 Adela Lane Las Vegas NV 89111 | 1515 Adela Lane Las Vegas NV 89111 | FULL_SCORE=100) | PHONE(702-919-1300 | 702-919-1300 | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
2,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1002', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'Bob', 'PRIMARY_NAME_MIDDLE': '', 'GENDER': '', 'DATE_OF_BIRTH': '11/12/1978', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': 'HOME', 'ADDR_FULL': '', 'ADDR_LINE1': '1515 Adela Lane', 'ADDR_CITY': 'Las Vegas', 'ADDR_STATE': 'NV', 'ADDR_POSTAL_CODE': '89111', 'ADDR_COUNTRY': '', 'PHONE_TYPE': 'MOBILE', 'PHONE_NUMBER': '702-919-1300', 'EMAIL_ADDRESS': '', 'DATE': '3/10/17', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '200', 'ROW_ID': 2}",2,n/a,2,POSSIBLY_SAME,NAME,100.0,97,100003,Robert Smith,WATCHLIST: 1008,NAME(Bob Smith | Robert Smith | GNR_FN=97 | GNR_SN=100 | GNR_GN=95) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
3,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1003', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'Bob', 'PRIMARY_NAME_MIDDLE': 'J', 'GENDER': '', 'DATE_OF_BIRTH': '12/11/1978', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': 'bsmith@work.com', 'DATE': '4/9/16', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '300', 'ROW_ID': 3}",1,n/a,1,RESOLVED,NAME+DOB+EMAIL,300.0,95,1,Robert Smith,CUSTOMERS: (4),NAME(Bob J Smith | Bob J Smith | GNR_FN=95 | GNR_SN=100 | GNR_GN=95) | DOB(12/11/1978 | 12/11/1978 | FULL_SCORE=100) | EMAIL(bsmith@work.com | bsmith@work.com | FULL_SCORE=100) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
3,"{'DATA_SOURCE': 'CUSTOMERS', 'RECORD_ID': '1003', 'RECORD_TYPE': 'PERSON', 'PRIMARY_NAME_ORG': '', 'SECONDARY_NAME_ORG': '', 'PRIMARY_NAME_FULL': '', 'NATIVE_NAME_FULL': '', 'PRIMARY_NAME_LAST': 'Smith', 'PRIMARY_NAME_FIRST': 'Bob', 'PRIMARY_NAME_MIDDLE': 'J', 'GENDER': '', 'DATE_OF_BIRTH': '12/11/1978', 'PASSPORT_NUMBER': '', 'PASSPORT_COUNTRY': '', 'DRIVERS_LICENSE_NUMBER': '', 'DRIVERS_LICENSE_STATE': '', 'SSN_NUMBER': '', 'NATIONAL_ID_NUMBER': '', 'NATIONAL_ID_COUNTRY': '', 'ADDR_TYPE': '', 'ADDR_FULL': '', 'ADDR_LINE1': '', 'ADDR_CITY': '', 'ADDR_STATE': '', 'ADDR_POSTAL_CODE': '', 'ADDR_COUNTRY': '', 'PHONE_TYPE': '', 'PHONE_NUMBER': '', 'EMAIL_ADDRESS': 'bsmith@work.com', 'DATE': '4/9/16', 'STATUS': 'Inactive', 'CATEGORY': '', 'AMOUNT': '300', 'ROW_ID': 3}",2,n/a,2,POSSIBLY_SAME,NAME,100.0,90,100003,Robert Smith,WATCHLIST: 1008,NAME(Bob J Smith | Robert Smith | GNR_FN=90 | GNR_SN=100 | GNR_GN=88) | EMAIL(bsmith@work.com | robert.smith@email.com | FULL_SCORE=0) | RECORD_TYPE(PERSON | PERSON | FULL_SCORE=100)
